Data_Ora_Incidente,Provincia,Giorno_Settimana,Tipo_Strada,Numero_Feriti,Numero_Morti,Velocita_Media_Stimata
2023-01-01 10:00:00,Milano,Domenica,Urbana,1,0,45
2023-01-01 15:30:00,Roma,Domenica,Autostrada,1,0,110
2023-01-02 08:00:00,Napoli,Lunedì,Statale,0,0,70
2023-01-02 18:45:00,Torino,Lunedì,Urbana,2,0,50
2023-01-03 09:15:00,Firenze,Martedì,Extraurbana,1,0,85
2023-01-03 21:00:00,Milano,Martedì,Autostrada,4,1,120
2023-01-04 07:30:00,Bologna,Mercoledì,Urbana,1,0,30
2023-01-04 16:20:00,Roma,Mercoledì,Statale,0,0,65
2023-01-05 11:00:00,Palermo,Giovedì,Urbana,2,0,40
2023-01-05 19:55:00,Milano,Giovedì,Extraurbana,1,0,90
2023-01-06 14:00:00,Bari,Venerdì,Autostrada,3,0,100
2023-01-06 23:00:00,Roma,Venerdì,Urbana,0,0,55
2023-01-07 10:30:00,Napoli,Sabato,Urbana,1,0,45
2023-01-07 17:10:00,Torino,Sabato,Statale,2,0,75
2023-01-08 09:40:00,Firenze,Domenica,Urbana,0,0,35
2023-01-08 20:15:00,Milano,Domenica,Autostrada,5,1,130
2023-01-09 08:50:00,Bologna,Lunedì,Urbana,1,0,40
2023-01-09 16:50:00,Roma,Lunedì,Extraurbana,2,0,80
2023-01-10 12:00:00,Palermo,Martedì,Urbana,0,0,48
2023-01-10 22:00:00,Milano,Martedì,Statale,3,0,95
2023-01-11 06:30:00,Bari,Mercoledì,Autostrada,1,0,115
2023-01-11 15:40:00,Roma,Mercoledì,Urbana,2,0,60
2023-01-12 10:10:00,Napoli,Giovedì,Urbana,1,0,52
2023-01-12 18:25:00,Torino,Giovedì,Autostrada,4,1,125
2023-01-13 09:00:00,Firenze,Venerdì,Urbana,0,0,40
2023-01-13 19:00:00,Milano,Venerdì,Statale,2,0,70
2023-01-14 13:00:00,Bologna,Sabato,Extraurbana,1,0,90
2023-01-14 21:30:00,Roma,Sabato,Urbana,3,0,50
2023-01-15 08:30:00,Milano,Domenica,Urbana,2,0,45
2023-01-15 18:45:00,Milano,Domenica,Autostrada,3,1,110
2023-01-16 12:10:00,Roma,Lunedì,Statale,1,0,75
2023-01-16 19:00:00,Napoli,Lunedì,Urbana,1,0,50
2023-01-17 09:05:00,Milano,Martedì,Urbana,0,0,30
2023-01-17 22:30:00,Roma,Martedì,Autostrada,5,0,130
2023-01-18 17:50:00,Torino,Mercoledì,Urbana,2,0,55
2023-01-18 03:15:00,Napoli,Mercoledì,Statale,4,1,90
2023-01-19 11:20:00,Milano,Giovedì,Statale,1,0,80
2023-01-20 23:55:00,Roma,Venerdì,Urbana,3,0,60
2023-01-21 15:00:00,Torino,Sabato,Autostrada,2,0,120
2023-01-22 01:00:00,Milano,Domenica,Urbana,1,0,65
2023-01-22 08:15:00,Napoli,Domenica,Urbana,2,0,40
2023-01-23 18:00:00,Milano,Lunedì,Urbana,1,0,50
2023-01-23 18:30:00,Milano,Lunedì,Urbana,3,0,45
2023-01-24 07:00:00,Roma,Martedì,Extraurbana,0,0,80
2023-01-24 14:00:00,Napoli,Martedì,Autostrada,2,0,110
2023-01-25 10:00:00,Torino,Mercoledì,Urbana,1,0,30
2023-01-25 20:00:00,Firenze,Mercoledì,Statale,3,0,70
2023-01-26 11:00:00,Bologna,Giovedì,Urbana,0,0,40
2023-01-26 17:00:00,Milano,Giovedì,Extraurbana,1,0,90
2023-01-27 13:00:00,Palermo,Venerdì,Urbana,2,0,55
2023-01-27 22:00:00,Bari,Venerdì,Autostrada,4,1,120
2023-01-28 09:00:00,Roma,Sabato,Urbana,1,0,45
2023-01-28 16:00:00,Napoli,Sabato,Statale,0,0,65
2023-01-29 08:00:00,Milano,Domenica,Urbana,2,0,35
2023-01-29 15:00:00,Torino,Domenica,Autostrada,3,0,100
2023-01-30 10:00:00,Firenze,Lunedì,Urbana,1,0,50
2023-01-30 19:00:00,Bologna,Lunedì,Extraurbana,0,0,75
2023-01-31 12:00:00,Palermo,Martedì,Urbana,2,0,48
2023-01-31 21:00:00,Bari,Martedì,Statale,1,0,85
2023-02-01 07:00:00,Roma,Mercoledì,Autostrada,3,0,110
2023-02-01 16:00:00,Milano,Mercoledì,Urbana,0,0,30
2023-02-02 11:00:00,Napoli,Giovedì,Urbana,1,0,40
2023-02-02 18:00:00,Torino,Giovedì,Extraurbana,2,0,95
2023-02-03 09:00:00,Firenze,Venerdì,Urbana,0,0,50
2023-02-03 20:00:00,Bologna,Venerdì,Autostrada,4,1,120
2023-02-04 14:00:00,Palermo,Sabato,Urbana,1,0,45
2023-02-04 23:00:00,Bari,Sabato,Statale,2,0,70
2023-02-05 10:00:00,Roma,Domenica,Urbana,0,0,38
2023-02-05 17:00:00,Milano,Domenica,Autostrada,3,0,105
2023-02-06 08:00:00,Napoli,Lunedì,Statale,1,0,80
2023-02-06 19:00:00,Torino,Lunedì,Urbana,2,0,50
2023-02-07 11:30:00,Firenze,Martedì,Extraurbana,0,0,75
2023-02-07 22:00:00,Bologna,Martedì,Autostrada,5,1,130
2023-02-08 07:45:00,Palermo,Mercoledì,Urbana,1,0,40
2023-02-08 16:30:00,Bari,Mercoledì,Statale,2,0,60
