Data_Ora_Incidente,Provincia,Giorno_Settimana,Tipo_Strada,Numero_Feriti,Numero_Morti,Velocita_Media_Stimata
2025-03-21 04:24:26,Torino,Venerdì,Urban,1,2,101
2022-10-06 20:35:41,Bologna,Giovedì,Urban,9,0,64
2023-12-13 08:08:36,Milano,Mercoledì,Highway,3,5,113
2022-09-29 13:57:55,Genova,Giovedì,Highway,3,6,103
2024-06-20 22:12:57,Bologna,Giovedì,Urban,6,7,85
2023-09-14 13:11:47,Milano,Giovedì,Urban,3,1,84
2024-11-27 07:32:07,Milano,Mercoledì,State,1,0,68
2024-06-13 20:39:01,Bologna,Giovedì,Highway,0,1,74
2024-08-26 14:11:30,Genova,Lunedì,State,10,2,77
2024-10-10 12:05:40,Bologna,Giovedì,Urban,8,2,114
2024-07-01 01:51:27,Bari,Lunedì,Highway,5,2,103
2024-02-29 04:20:04,Milano,Giovedì,State,4,4,49
2024-06-02 12:47:22,Firenze,Domenica,Highway,3,5,75
2024-03-22 13:03:13,Bari,Venerdì,State,2,7,54
2023-01-18 12:13:01,Genova,Mercoledì,Urban,7,7,38
2022-07-07 21:41:44,Bologna,Giovedì,State,8,4,63
2025-06-17 20:00:36,Bari,Martedì,Highway,2,2,74
2024-08-05 06:53:19,Torino,Lunedì,State,10,6,69
2025-05-28 20:58:01,Napoli,Mercoledì,Urban,7,0,68
2023-12-20 23:37:59,Milano,Mercoledì,State,1,0,46
2023-05-11 02:07:32,Bologna,Giovedì,Urban,6,4,65
2025-03-08 18:09:18,Milano,Sabato,Highway,5,0,37
2024-07-04 02:01:55,Torino,Giovedì,Urban,9,4,55
2024-11-12 11:56:15,Torino,Martedì,Urban,9,3,109
2023-01-20 06:02:49,Bari,Venerdì,State,0,5,114
2023-08-08 19:42:36,Genova,Martedì,Urban,2,6,87
2023-03-08 17:20:17,Milano,Mercoledì,Highway,2,1,38
2023-08-05 02:04:43,Firenze,Sabato,State,5,3,40
2024-11-29 20:00:43,Bologna,Venerdì,State,10,1,46
2024-10-28 04:14:08,Bologna,Lunedì,Highway,4,3,45
2024-04-11 17:24:02,Firenze,Giovedì,Urban,2,3,87
2023-07-17 08:32:50,Napoli,Lunedì,Highway,8,5,113
2024-09-28 09:46:17,Milano,Sabato,State,0,5,117
2023-03-01 12:54:48,Roma,Mercoledì,State,0,2,36
2022-08-17 00:26:14,Firenze,Mercoledì,Urban,10,7,43
2025-05-18 14:13:29,Bologna,Domenica,Urban,1,2,78
2025-01-30 07:11:38,Roma,Giovedì,Highway,5,2,49
2024-09-13 00:08:38,Firenze,Venerdì,Urban,3,3,68
2023-10-30 18:19:03,Firenze,Lunedì,State,0,7,59
2022-12-04 15:45:48,Milano,Domenica,State,0,1,35
2024-12-08 13:02:53,Milano,Domenica,Highway,0,0,35
2024-11-18 10:55:25,Milano,Lunedì,Urban,5,2,49
2024-09-20 17:39:54,Firenze,Venerdì,Urban,9,0,66
2024-03-25 19:23:46,Roma,Lunedì,Urban,2,6,99
2023-04-07 03:01:31,Genova,Venerdì,Highway,7,1,62
2025-05-17 16:34:53,Bari,Sabato,State,2,7,84
2024-02-17 00:06:06,Bologna,Sabato,State,3,2,45
2023-11-08 21:36:19,Roma,Mercoledì,Highway,8,5,103
2023-04-23 17:44:15,Firenze,Domenica,Highway,8,4,85
2025-01-22 20:00:31,Bologna,Mercoledì,State,5,1,61
2025-03-24 01:34:44,Genova,Lunedì,State,7,2,109
2024-05-11 13:16:13,Torino,Sabato,Urban,9,7,101
2024-03-30 12:27:17,Firenze,Sabato,Urban,4,6,57
2023-06-13 20:55:28,Milano,Martedì,Urban,0,2,32
2023-06-25 13:46:22,Torino,Domenica,State,6,4,95
2024-07-02 05:08:09,Bologna,Martedì,Urban,5,7,77
2023-10-31 12:16:19,Genova,Martedì,State,0,6,31
2023-08-22 07:03:24,Milano,Martedì,State,1,3,92
2022-09-06 07:49:57,Bologna,Martedì,Highway,1,0,37
2023-09-09 19:25:38,Bologna,Sabato,Highway,3,4,52
2022-12-15 07:20:13,Roma,Giovedì,State,9,2,39
2023-12-11 08:18:31,Genova,Lunedì,Urban,8,7,100
2023-11-03 01:41:20,Genova,Venerdì,Highway,5,0,90
2022-06-30 19:52:36,Torino,Giovedì,State,2,5,115
2024-08-12 04:25:35,Bologna,Lunedì,State,4,3,68
2025-05-10 01:51:17,Bologna,Sabato,Highway,7,3,80
2025-04-25 04:32:59,Milano,Venerdì,State,10,6,69
2022-11-30 21:40:43,Milano,Mercoledì,State,6,5,87
2024-01-29 21:26:49,Bari,Lunedì,State,3,1,64
2023-03-01 21:16:21,Milano,Mercoledì,State,6,6,81
2025-02-14 11:02:47,Napoli,Venerdì,Urban,1,6,74
2025-02-11 05:52:39,Bari,Martedì,Highway,10,0,90
2022-08-21 17:16:06,Torino,Domenica,State,4,5,118
2024-06-06 18:07:32,Torino,Giovedì,State,5,5,69
2025-02-11 03:04:13,Torino,Martedì,Urban,8,6,106
2024-08-22 11:59:32,Napoli,Giovedì,State,1,6,65
2023-08-06 17:44:28,Firenze,Domenica,State,10,4,98
2024-11-30 22:20:15,Firenze,Sabato,Highway,1,3,112
2022-08-15 11:37:15,Torino,Lunedì,State,3,1,52
2024-06-18 20:56:09,Milano,Martedì,Urban,10,2,114
2023-10-19 19:21:50,Firenze,Giovedì,State,7,0,116
2023-05-18 09:26:17,Napoli,Giovedì,Urban,7,0,109
2023-01-13 09:11:20,Firenze,Venerdì,State,0,3,60
2023-01-17 18:05:10,Genova,Martedì,Highway,5,3,83
2025-01-25 15:23:51,Bologna,Sabato,Highway,5,2,103
2024-06-11 16:26:14,Genova,Martedì,Highway,8,2,48
2023-08-13 02:23:23,Bologna,Domenica,Highway,7,3,44
2024-10-13 22:55:08,Napoli,Domenica,Highway,2,3,117
2023-05-13 03:04:16,Milano,Sabato,State,0,6,112
2023-11-12 20:34:35,Bari,Domenica,Urban,6,7,45
2024-11-06 04:31:40,Roma,Mercoledì,Highway,0,2,33
2023-02-16 21:39:53,Torino,Giovedì,Urban,2,3,93
2024-01-11 20:27:20,Genova,Giovedì,Urban,1,2,53
2023-09-18 01:57:33,Milano,Lunedì,Highway,9,3,53
2023-05-12 20:58:51,Firenze,Venerdì,Urban,10,4,110
2023-08-07 22:18:52,Bari,Lunedì,Urban,5,4,113
2024-01-06 05:20:01,Milano,Sabato,Urban,7,7,38
2024-06-29 19:40:32,Bari,Sabato,State,6,0,54
2024-12-29 13:35:27,Bologna,Domenica,State,10,6,89
2022-07-26 14:21:56,Milano,Martedì,Urban,7,3,106
2024-05-17 21:19:42,Bari,Venerdì,State,2,7,40
2022-10-05 19:43:45,Roma,Mercoledì,Highway,6,0,102
2024-03-15 23:36:34,Genova,Venerdì,Urban,3,1,37
2024-01-06 18:58:00,Bologna,Sabato,Urban,1,2,39
2023-09-06 08:37:31,Genova,Mercoledì,Urban,9,4,112
2022-12-07 17:55:42,Bari,Mercoledì,State,7,3,30
2023-06-09 04:24:42,Roma,Venerdì,Highway,4,2,68
2023-01-12 11:55:35,Torino,Giovedì,State,7,7,91
2024-04-08 09:25:58,Genova,Lunedì,Urban,6,6,110
2025-01-22 06:58:00,Bari,Mercoledì,Highway,7,4,98
2022-09-20 12:21:19,Firenze,Martedì,Highway,3,4,80
2024-05-03 13:58:10,Bari,Venerdì,Highway,2,4,53
2024-10-07 01:10:40,Torino,Lunedì,Highway,4,6,51
2025-05-05 18:37:18,Bari,Lunedì,Urban,10,6,93
2025-04-25 10:32:54,Firenze,Venerdì,Highway,3,2,50
2023-06-14 06:25:33,Roma,Mercoledì,Urban,6,0,30
2024-09-20 20:03:59,Genova,Venerdì,Urban,3,0,91
2022-11-27 01:01:02,Torino,Domenica,State,3,7,47
2025-02-05 09:02:01,Bari,Mercoledì,State,2,4,103
2022-11-17 09:04:48,Firenze,Giovedì,Highway,6,2,31
2022-11-18 08:10:40,Milano,Venerdì,Urban,9,7,113
2024-01-10 16:54:04,Roma,Mercoledì,State,1,3,110
2024-08-11 17:55:25,Genova,Domenica,Highway,9,0,119
2023-12-30 17:25:13,Torino,Sabato,Highway,10,3,48
2024-10-03 09:29:30,Milano,Giovedì,Highway,10,0,50
2025-06-11 05:38:36,Bari,Mercoledì,Urban,9,4,59
2024-08-16 00:19:11,Bari,Venerdì,Urban,10,0,59
2023-09-06 00:39:28,Milano,Mercoledì,Urban,2,7,100
2022-10-20 10:50:11,Torino,Giovedì,Highway,10,3,91
2023-03-24 22:29:42,Milano,Venerdì,Highway,0,6,72
2022-08-22 18:27:17,Torino,Lunedì,Urban,7,7,70
2024-09-05 05:14:05,Roma,Giovedì,Urban,0,6,35
2023-11-23 01:43:47,Torino,Giovedì,Highway,10,3,119
2024-08-09 00:35:41,Torino,Venerdì,Highway,5,1,75
2024-10-18 23:26:59,Roma,Venerdì,Highway,5,2,116
2024-11-16 12:47:27,Genova,Sabato,Urban,0,6,32
2023-04-10 06:10:49,Napoli,Lunedì,Highway,5,2,119
2023-10-26 20:16:49,Roma,Giovedì,Highway,6,7,38
2022-11-21 08:30:57,Bari,Lunedì,Urban,4,5,78
2024-06-01 04:12:18,Bari,Sabato,Highway,0,0,120
2022-11-16 04:48:39,Genova,Mercoledì,Highway,1,2,38
2025-03-15 03:49:27,Bologna,Sabato,State,10,1,100
2023-06-08 09:16:00,Genova,Giovedì,State,2,6,53
2025-03-13 22:34:54,Torino,Giovedì,Highway,4,5,106
2022-11-13 00:27:11,Bari,Domenica,Highway,7,7,71
2022-06-26 19:36:42,Milano,Domenica,Urban,1,6,104
2023-01-14 16:44:48,Firenze,Sabato,State,7,6,57
2025-04-02 14:16:01,Bari,Mercoledì,Urban,1,4,41
2023-04-17 07:39:08,Roma,Lunedì,State,8,7,38
2023-05-07 23:56:06,Genova,Domenica,State,9,4,110
2022-11-25 07:30:59,Firenze,Venerdì,Highway,4,0,111
2023-09-13 17:15:59,Napoli,Mercoledì,Highway,10,2,113
2025-06-06 20:53:35,Roma,Venerdì,State,6,6,102
2024-05-05 07:00:08,Milano,Domenica,State,7,4,105
2024-08-25 18:31:36,Firenze,Domenica,Urban,7,1,93
2023-07-21 17:46:04,Roma,Venerdì,Urban,5,5,40
2024-08-07 19:04:54,Bologna,Mercoledì,Highway,3,3,30
2022-08-30 14:13:45,Napoli,Martedì,Highway,4,1,71
2023-12-10 08:49:59,Torino,Domenica,Urban,6,6,75
2023-05-19 13:26:41,Firenze,Venerdì,Urban,5,0,38
2023-10-10 12:39:19,Genova,Martedì,Highway,7,0,114
2023-02-03 21:52:02,Napoli,Venerdì,Highway,10,7,52
2025-01-30 09:43:21,Milano,Giovedì,State,0,6,119
2024-06-01 23:42:18,Napoli,Sabato,State,5,7,99
2025-03-28 18:09:35,Bari,Venerdì,Urban,1,7,35
2024-06-11 22:08:04,Milano,Martedì,Highway,10,2,36
2023-10-16 14:58:11,Firenze,Lunedì,Urban,7,2,43
2025-02-25 18:47:00,Torino,Martedì,State,10,1,39
2022-11-24 19:56:12,Roma,Giovedì,Highway,5,7,36
2023-04-14 06:26:33,Genova,Venerdì,State,2,4,71
2024-03-18 21:51:21,Torino,Lunedì,State,3,4,104
2023-03-02 17:13:25,Genova,Giovedì,State,7,7,99
2023-02-15 17:50:30,Bologna,Mercoledì,Urban,10,0,82
2025-05-23 02:50:37,Bari,Venerdì,State,4,1,82
2025-04-17 02:26:11,Napoli,Giovedì,Urban,1,6,84
2023-01-10 14:07:20,Torino,Martedì,Urban,2,2,35
2024-10-30 03:08:16,Milano,Mercoledì,Urban,1,0,82
2022-10-31 04:28:20,Roma,Lunedì,Urban,7,7,73
2024-01-23 03:17:21,Torino,Martedì,Urban,10,1,83
2024-06-23 03:08:43,Firenze,Domenica,Highway,7,5,53
2023-04-19 22:58:41,Firenze,Mercoledì,Urban,9,6,83
2023-08-19 08:09:37,Milano,Sabato,Highway,7,4,113
2024-04-02 16:34:20,Napoli,Martedì,Urban,8,1,69
2024-10-31 17:20:47,Torino,Giovedì,Highway,8,7,88
2024-09-11 11:43:13,Milano,Mercoledì,Urban,4,1,52
2022-07-11 23:47:22,Roma,Lunedì,State,10,1,102
2022-10-30 22:13:10,Roma,Domenica,Urban,7,7,31
2023-12-12 02:09:49,Bari,Martedì,Urban,6,4,92
2023-12-13 02:52:58,Milano,Mercoledì,Urban,5,6,36
2023-08-04 04:52:24,Firenze,Venerdì,Urban,3,1,53
2022-11-07 23:40:22,Bologna,Lunedì,Urban,8,1,108
2024-12-23 15:19:05,Torino,Lunedì,Highway,5,0,81
2022-08-28 09:46:59,Torino,Domenica,Urban,7,5,55
2022-08-21 14:57:02,Torino,Domenica,State,10,6,95
2024-08-28 01:27:13,Bari,Mercoledì,Urban,8,2,60
2023-09-03 00:27:35,Bologna,Domenica,Urban,9,2,51
2024-05-11 14:51:39,Genova,Sabato,Urban,3,4,108
2024-01-29 14:49:48,Torino,Lunedì,Urban,7,1,82
2024-08-14 02:09:56,Napoli,Mercoledì,Highway,2,0,104
2024-12-26 16:23:45,Bologna,Giovedì,Highway,9,7,39
2025-03-14 19:59:33,Roma,Venerdì,Urban,5,3,88
2024-12-18 19:17:04,Genova,Mercoledì,Highway,3,1,83
2024-09-23 00:00:36,Bari,Lunedì,Urban,1,1,113
2022-08-18 11:07:01,Napoli,Giovedì,Highway,0,0,32
2025-01-23 04:04:58,Bari,Giovedì,State,3,5,42
2023-01-24 00:44:00,Roma,Martedì,Urban,4,1,56
2024-05-12 12:34:53,Bari,Domenica,Urban,7,0,78
2025-03-12 16:23:21,Genova,Mercoledì,Highway,10,7,38
2024-11-03 03:17:41,Roma,Domenica,State,6,2,57
2025-01-03 16:24:25,Roma,Venerdì,Urban,3,6,30
2023-05-27 18:44:33,Torino,Sabato,State,8,2,76
2023-12-26 22:49:13,Torino,Martedì,State,7,7,70
2024-03-28 12:56:59,Firenze,Giovedì,Highway,5,2,111
2023-10-03 00:51:51,Firenze,Martedì,State,7,5,69
2022-09-02 06:25:31,Roma,Venerdì,Highway,3,5,117
2024-01-14 05:19:26,Torino,Domenica,Highway,7,4,91
2023-11-02 07:25:06,Bari,Giovedì,Urban,0,0,44
2024-12-04 17:42:26,Firenze,Mercoledì,Highway,6,4,33
2022-12-05 13:31:06,Roma,Lunedì,State,9,6,76
2024-09-24 08:39:04,Firenze,Martedì,Urban,10,0,60
2022-10-21 22:25:48,Torino,Venerdì,Highway,1,3,93
2024-11-14 00:12:47,Torino,Giovedì,State,2,0,108
2022-08-24 16:50:43,Torino,Mercoledì,Urban,9,2,54
2022-08-28 06:19:32,Milano,Domenica,Urban,6,6,105
2024-12-20 08:14:43,Genova,Venerdì,State,0,4,106
2024-08-19 15:26:09,Genova,Lunedì,Highway,5,0,80
2025-03-21 06:09:35,Torino,Venerdì,Urban,1,4,67
