Data_Ora_Incidente,Provincia,Giorno_Settimana,Tipo_Strada,Numero_Feriti,Numero_Morti,Velocita_Media_Stimata
2022-09-09 23:45:22,Bari,Venerdì,Highway,21,13,114
2024-01-15 00:39:40,Genova,Lunedì,Highway,9,5,92
2024-03-23 16:45:33,Firenze,Sabato,Highway,28,2,108
2023-12-03 09:57:56,Bari,Domenica,Highway,2,4,70
2023-03-01 05:13:48,Bari,Mercoledì,Urban,10,7,39
2025-06-09 22:46:01,Firenze,Lunedì,Highway,16,0,32
2025-03-10 07:04:53,Napoli,Lunedì,Highway,21,1,147
2023-11-27 07:51:15,Roma,Lunedì,Highway,20,13,148
2024-02-12 09:27:16,Bologna,Lunedì,Urban,11,13,104
2022-07-05 15:49:17,Torino,Martedì,Urban,4,15,92
2025-02-17 11:52:58,Roma,Lunedì,State,21,11,116
2023-05-11 10:41:57,Milano,Giovedì,Highway,8,12,55
2025-05-30 01:06:01,Milano,Venerdì,State,16,1,110
2024-12-09 18:20:23,Genova,Lunedì,Highway,0,13,93
2023-11-08 07:13:30,Napoli,Mercoledì,Urban,12,14,130
2025-05-13 14:39:19,Bologna,Martedì,State,9,0,39
2024-05-11 07:21:45,Napoli,Sabato,Highway,15,1,118
2023-11-02 17:25:14,Milano,Giovedì,Highway,29,13,82
2023-07-04 23:28:08,Firenze,Martedì,Urban,30,7,119
2025-01-23 08:08:42,Bari,Giovedì,State,11,11,65
2025-02-13 19:14:40,Roma,Giovedì,Highway,16,10,33
2025-05-03 10:47:02,Bologna,Sabato,Highway,29,9,89
2024-05-20 05:46:15,Bologna,Lunedì,State,2,7,80
2023-03-31 10:54:01,Napoli,Venerdì,Highway,20,13,109
2022-08-10 17:08:54,Roma,Mercoledì,State,1,5,107
2023-08-20 21:21:16,Torino,Domenica,State,23,0,93
2024-12-09 08:46:49,Bologna,Lunedì,Highway,15,7,66
2023-08-19 17:33:47,Bari,Sabato,Urban,27,15,135
2022-11-27 23:44:08,Firenze,Domenica,Highway,1,8,84
2024-03-14 12:56:34,Bari,Giovedì,State,1,10,32
2024-01-21 22:08:32,Roma,Domenica,Urban,5,0,149
2024-07-19 19:12:43,Firenze,Venerdì,Urban,29,2,133
2024-01-03 09:10:02,Roma,Mercoledì,Highway,5,9,82
2025-05-31 04:35:45,Roma,Sabato,Urban,23,11,123
2024-01-13 00:43:42,Firenze,Sabato,Urban,16,15,140
2022-09-14 03:59:56,Bologna,Mercoledì,State,5,8,49
2024-06-17 13:44:02,Firenze,Lunedì,Highway,15,1,145
2023-06-07 03:26:23,Genova,Mercoledì,State,8,3,55
2023-01-08 15:32:52,Bologna,Domenica,Urban,30,7,117
2023-06-14 02:42:53,Napoli,Mercoledì,Urban,1,7,126
2024-12-29 05:17:55,Firenze,Domenica,Urban,30,7,73
2024-06-13 23:59:23,Napoli,Giovedì,Highway,20,5,102
2022-11-28 18:59:42,Napoli,Lunedì,State,9,15,55
2022-10-25 16:17:01,Roma,Martedì,State,14,1,99
2025-04-11 21:13:44,Napoli,Venerdì,Urban,23,2,147
2025-02-12 00:00:29,Torino,Mercoledì,State,25,14,49
2024-10-17 15:23:07,Bari,Giovedì,Urban,14,10,106
2024-11-30 21:00:31,Firenze,Sabato,Highway,2,4,125
2023-02-24 10:19:37,Firenze,Venerdì,State,22,2,79
2022-10-22 09:01:44,Genova,Sabato,Highway,14,7,99
2023-08-03 13:58:20,Roma,Giovedì,Highway,5,7,99
2024-05-18 13:02:54,Roma,Sabato,State,27,11,86
