Data_Ora_Incidente,Provincia,Giorno_Settimana,Tipo_Strada,Numero_Feriti,Numero_Morti,Velocita_Media_Stimata
2024-01-01 00:00:00.000000000,Roma,Lunedì,Strada Comunale,0,0,101
2024-01-02 01:46:46.412825651,Palermo,Martedì,Strada Statale,5,0,73
2024-01-03 03:33:32.825651302,Bologna,Mercoledì,Strada Statale,2,0,79
2024-01-04 05:20:19.238476953,Torino,Giovedì,Strada Comunale,2,0,78
2024-01-05 07:07:05.651302605,Milano,Venerdì,Strada Comunale,2,0,20
2024-01-06 08:53:52.064128256,Milano,Sabato,Autostrada,2,0,65
2024-01-07 10:40:38.476953907,Milano,Domenica,Strada Provinciale,2,0,64
2024-01-08 12:27:24.889779559,Firenze,Lunedì,Strada Comunale,1,0,105
2024-01-09 14:14:11.302605210,Torino,Martedì,Strada Provinciale,6,0,78
2024-01-10 16:00:57.715430861,Bologna,Mercoledì,Strada Comunale,1,1,62
2024-01-11 17:47:44.128256513,Milano,Giovedì,Strada Comunale,1,0,67
2024-01-12 19:34:30.541082164,Palermo,Venerdì,Strada Statale,0,0,95
2024-01-13 21:21:16.953907815,Firenze,Sabato,Strada Provinciale,0,0,65
2024-01-14 23:08:03.366733466,Roma,Domenica,Strada Comunale,3,1,52
2024-01-16 00:54:49.779559118,Milano,Martedì,Autostrada,0,0,63
2024-01-17 02:41:36.192384769,Milano,Mercoledì,Autostrada,1,1,93
2024-01-18 04:28:22.605210420,Roma,Giovedì,Strada Statale,2,2,82
2024-01-19 06:15:09.018036072,Napoli,Venerdì,Strada Comunale,2,0,71
2024-01-20 08:01:55.430861723,Napoli,Sabato,Strada Provinciale,0,1,74
2024-01-21 09:48:41.843687374,Roma,Domenica,Autostrada,1,0,56
2024-01-22 11:35:28.256513026,Torino,Lunedì,Strada Statale,5,0,65
2024-01-23 13:22:14.669338677,Milano,Martedì,Strada Statale,2,0,53
2024-01-24 15:09:01.082164328,Roma,Mercoledì,Strada Provinciale,4,0,62
2024-01-25 16:55:47.494989979,Roma,Giovedì,Strada Comunale,2,0,103
2024-01-26 18:42:33.907815631,Napoli,Venerdì,Strada Comunale,0,0,43
2024-01-27 20:29:20.320641282,Bologna,Sabato,Strada Statale,1,1,52
2024-01-28 22:16:06.733466933,Milano,Domenica,Strada Statale,1,0,38
2024-01-30 00:02:53.146292585,Napoli,Martedì,Strada Statale,1,0,33
2024-01-31 01:49:39.559118236,Torino,Mercoledì,Autostrada,0,0,65
2024-02-01 03:36:25.971943887,Milano,Giovedì,Strada Comunale,2,0,54
2024-02-02 05:23:12.384769539,Torino,Venerdì,Strada Comunale,1,1,114
2024-02-03 07:09:58.797595190,Milano,Sabato,Strada Provinciale,3,0,62
2024-02-04 08:56:45.210420841,Milano,Domenica,Strada Provinciale,3,1,102
2024-02-05 10:43:31.623246493,Bari,Lunedì,Strada Statale,1,0,94
2024-02-06 12:30:18.036072144,Palermo,Martedì,Strada Comunale,2,0,64
2024-02-07 14:17:04.448897795,Firenze,Mercoledì,Strada Provinciale,2,0,122
2024-02-08 16:03:50.861723446,Roma,Giovedì,Strada Comunale,1,0,76
2024-02-09 17:50:37.274549098,Milano,Venerdì,Autostrada,0,0,107
2024-02-10 19:37:23.687374749,Torino,Sabato,Strada Statale,1,0,104
2024-02-11 21:24:10.100200400,Napoli,Domenica,Autostrada,2,0,80
2024-02-12 23:10:56.513026052,Milano,Lunedì,Strada Provinciale,5,0,88
2024-02-14 00:57:42.925851703,Napoli,Mercoledì,Strada Comunale,3,0,85
2024-02-15 02:44:29.338677354,Milano,Giovedì,Autostrada,0,0,41
2024-02-16 04:31:15.751503006,Bari,Venerdì,Strada Comunale,1,0,71
2024-02-17 06:18:02.164328657,Roma,Sabato,Strada Comunale,1,0,96
2024-02-18 08:04:48.577154308,Torino,Domenica,Strada Statale,2,0,108
2024-02-19 09:51:34.989979959,Roma,Lunedì,Autostrada,2,0,51
2024-02-20 11:38:21.402805611,Napoli,Martedì,Strada Comunale,6,0,83
2024-02-21 13:25:07.815631262,Napoli,Mercoledì,Strada Statale,1,0,73
2024-02-22 15:11:54.228456914,Milano,Giovedì,Strada Comunale,1,0,67
2024-02-23 16:58:40.641282565,Palermo,Venerdì,Strada Statale,1,0,78
2024-02-24 18:45:27.054108216,Bologna,Sabato,Strada Comunale,2,0,75
2024-02-25 20:32:13.466933867,Bari,Domenica,Strada Statale,1,0,83
2024-02-26 22:18:59.879759519,Firenze,Lunedì,Strada Statale,2,0,106
2024-02-28 00:05:46.292585170,Torino,Mercoledì,Strada Comunale,2,0,89
2024-02-29 01:52:32.705410821,Bari,Giovedì,Strada Statale,2,0,77
2024-03-01 03:39:19.118236473,Milano,Venerdì,Autostrada,2,0,116
2024-03-02 05:26:05.531062124,Milano,Sabato,Autostrada,6,0,97
2024-03-03 07:12:51.943887775,Milano,Domenica,Strada Comunale,3,0,67
2024-03-04 08:59:38.356713427,Roma,Lunedì,Strada Comunale,0,0,39
